Team,W,L,PCT,R,RA,RD
MIN,93.2,68.8,0.575,920.9,791.6,129.3
PHI,90.8,71.2,0.56,939.1,819.1,120.0
MIL,89.2,72.8,0.551,842.2,761.4,80.8
SDP,88.6,73.4,0.547,917.0,826.4,90.6
NYY,87.6,74.4,0.541,934.2,854.8,79.5
TBR,86.6,75.4,0.534,861.1,805.0,56.1
TOR,86.3,75.7,0.533,938.1,876.4,61.7
LAD,85.5,76.5,0.528,842.6,805.6,37.0
SEA,84.7,77.3,0.523,858.9,819.3,39.5
LAA,84.4,77.6,0.521,888.1,844.4,43.6
OAK,84.4,77.6,0.521,868.8,827.6,41.2
TEX,83.7,78.3,0.517,847.9,816.1,31.8
NYM,82.4,79.6,0.509,902.2,885.5,16.8
ATL,81.6,80.4,0.504,962.1,957.8,4.3
PIT,81.5,80.5,0.503,836.0,834.0,2.0
CHW,80.5,81.5,0.497,821.1,838.4,-17.3
MIA,80.2,81.8,0.495,819.1,823.0,-3.9
DET,79.9,82.1,0.493,786.6,806.5,-20.0
STL,79.3,82.7,0.49,906.1,923.5,-17.4
CHC,78.9,83.1,0.487,813.8,835.3,-21.5
CIN,78.8,83.2,0.487,850.7,876.6,-25.9
SFG,78.6,83.4,0.485,824.9,845.6,-20.7
HOU,78.1,83.9,0.482,868.0,900.4,-32.3
WSN,76.7,85.3,0.473,808.1,855.2,-47.0
BOS,74.5,87.5,0.46,852.1,910.8,-58.8
BAL,73.9,88.1,0.456,848.2,934.4,-86.3
COL,72.0,90.0,0.445,764.3,852.7,-88.5
CLE,72.1,89.9,0.445,784.4,880.9,-96.5
KCR,69.2,92.8,0.427,761.8,884.9,-123.2
ARI,67.1,94.9,0.414,810.9,986.1,-175.2
